日期,开盘,收盘,高,低,成交量,涨跌幅,流通股本,总股本,交易收入,增发股数
2010-01-04,1.1,1.1011,1.1011,1.1,12386000,0.10%,7614209,20000209,13638.22,10000209
2010-01-05,1.1011,1.1033,1.1033,1.1011,26862000,0.20%,753630,40001630,29636.84,20001420
2010-01-06,1.1033,1.1066,1.1066,1.1033,25608000,0.30%,5149413,70005413,28337.81,30003782
2010-01-07,1.1066,1.1099,1.1099,1.1066,30723000,0.30%,4432430,100011430,34099.46,30006017
2010-01-08,1.1099,1.1122,1.1122,1.1099,21978000,0.21%,2459675,120016675,24443.93,20005244
2010-01-11,1.1122,1.1144,1.1144,1.1122,19547000,0.20%,2919092,140023092,21783.18,20006417
2010-01-12,1.1144,1.1166,1.1166,1.1144,17292000,0.20%,5634669,160030669,19308.25,20007577
2010-01-13,1.1166,1.12,1.12,1.1166,33605000,0.30%,2044343,190045343,37637.6,30014674
2010-01-14,1.12,1.1222,1.1222,1.12,20834000,0.20%,1221855,210056855,23379.91,20011511
2010-01-15,1.1222,1.1256,1.1256,1.1222,22462000,0.30%,8780103,240077103,25283.23,30020248
2010-01-18,1.1256,1.129,1.129,1.1256,30602000,0.30%,8202633,270101633,34549.66,30024529
2010-01-19,1.129,1.1358,1.1358,1.129,67144000,0.60%,1126759,330169759,76262.16,60068126
2010-01-20,1.1358,1.1414,1.1414,1.1358,48455000,0.49%,2745129,380243129,55306.54,50073369
2010-01-21,1.1414,1.1495,1.1495,1.1414,63151000,0.71%,9730327,450379327,72592.07,70136197
2010-01-22,1.1495,1.1575,1.1575,1.1495,76208000,0.70%,3706912,520563912,88210.76,70184585
2010-01-25,1.1575,1.1633,1.1633,1.1575,47949000,0.50%,5920436,570726436,55779.07,50162524
2010-01-26,1.1633,1.168,1.168,1.1633,45165999,0.40%,907881,610879881,52753.89,40153444
2010-01-27,1.168,1.175,1.175,1.168,56342000,0.60%,4842987,671156987,66201.85,60277106
2010-01-28,1.175,1.1821,1.1821,1.175,56496000,0.60%,8683920,731493920,66783.92,60336933
2010-01-29,1.1821,1.1856,1.1856,1.1821,37202000,0.30%,1674519,761686519,44106.69,30192598
2010-02-01,1.1856,1.1916,1.1916,1.1856,43472000,0.51%,8567848,812051848,51801.24,50365329
2010-02-02,1.1916,1.1951,1.1951,1.1916,35706000,0.29%,3107971,842297971,42672.24,30246122
2010-02-03,1.1951,1.2023,1.2023,1.1951,53801000,0.60%,9874807,902865807,64684.94,60567836
2010-02-04,1.2023,1.2047,1.2047,1.2023,21230000,0.20%,8852667,923073667,25575.78,20207859
2010-02-05,1.2047,1.212,1.212,1.2047,61358000,0.61%,8208240,983787240,74365.9,60713573
2010-02-08,1.212,1.2156,1.2156,1.212,38071000,0.30%,537565,1014187565,46279.11,30400325
2010-02-09,1.2156,1.2205,1.2205,1.2156,39138000,0.40%,1987789,1054775789,47767.93,40588223
