日期,开盘,收盘,高,低,成交量,涨跌幅,流通股本,总股本,交易收入,增发股数
2010-07-18,1.1,1.1,1.1,1.1,88,0.00%,2999912,3000000,0.1,0
2010-07-19,1.1,1.1,1.1,1.1,627,0.00%,2999285,3000000,0.69,0
2010-07-20,1.1,1.1,1.1,1.1,286,0.00%,2998999,3000000,0.31,0
2010-07-21,1.1,1.1,1.1,1.1,638,0.00%,2998361,3000000,0.7,0
2010-07-22,1.1,1.1,1.1,1.1,2376,0.00%,2995985,3000000,2.61,0
2010-07-23,1.1,1.1,1.1,1.1,2640,0.00%,2993345,3000000,2.9,0
2010-07-24,1.1,1.1,1.1,1.1,550,0.00%,2992795,3000000,0.6,0
2010-07-25,1.1,1.1,1.1,1.1,1705,0.00%,2991090,3000000,1.88,0
2010-07-26,1.1,1.1,1.1,1.1,968,0.00%,2990122,3000000,1.06,0
2010-07-27,1.1,1.1,1.1,1.1,3707,0.00%,2986415,3000000,4.08,0
2010-07-28,1.1,1.1,1.1,1.1,4829,0.00%,2981586,3000000,5.31,0
2010-07-29,1.1,1.1,1.1,1.1,8866,0.00%,2972720,3000000,9.75,0
2010-07-30,1.1,1.1,1.1,1.1,3322,0.00%,2969398,3000000,3.65,0
2010-07-31,1.1,1.1,1.1,1.1,4422,0.00%,2964976,3000000,4.86,0
2010-08-01,1.1,1.1,1.1,1.1,2860,0.00%,2962116,3000000,3.15,0
2010-08-02,1.1,1.1,1.1,1.1,3960,0.00%,2958156,3000000,4.36,0
2010-08-03,1.1,1.1,1.1,1.1,10802,0.00%,2947354,3000000,11.88,0
2010-08-04,1.1,1.1,1.1,1.1,3839,0.00%,2943515,3000000,4.22,0
2010-08-05,1.1,1.1,1.1,1.1,5533,0.00%,2937982,3000000,6.09,0
2010-08-06,1.1,1.1,1.1,1.1,1540,0.00%,2936442,3000000,1.69,0
2010-08-07,1.1,1.1,1.1,1.1,2882,0.00%,2933560,3000000,3.17,0
2010-08-08,1.1,1.1,1.1,1.1,2420,0.00%,2931140,3000000,2.66,0
2010-08-09,1.1,1.1,1.1,1.1,14993,0.00%,2916147,3000000,16.49,0
2010-08-10,1.1,1.1,1.1,1.1,1441,0.00%,2914706,3000000,1.59,0
2010-08-11,1.1,1.1,1.1,1.1,15466,0.00%,2899240,3000000,17.01,0
2010-08-12,1.1,1.1,1.1,1.1,2266,0.00%,2896974,3000000,2.49,0
2010-08-13,1.1,1.1,1.1,1.1,3949,0.00%,2893025,3000000,4.34,0
2010-08-14,1.1,1.1,1.1,1.1,4840,0.00%,2888185,3000000,5.32,0
2010-08-15,1.1,1.1,1.1,1.1,4906,0.00%,2883279,3000000,5.4,0
2010-08-16,1.1,1.1,1.1,1.1,11803,0.00%,2871476,3000000,12.98,0
2010-08-17,1.1,1.1,1.1,1.1,14509,0.00%,2856967,3000000,15.96,0
2010-08-18,1.1,1.1,1.1,1.1,3245,0.00%,2853722,3000000,3.57,0
2010-08-19,1.1,1.1,1.1,1.1,814,0.00%,2852908,3000000,0.9,0
